cp_min,cp_max,isla,provincia
35001,35019,GRAN CANARIA,Las Palmas
35100,35139,GRAN CANARIA,Las Palmas
35140,35149,GRAN CANARIA,Las Palmas
35200,35229,GRAN CANARIA,Las Palmas
35250,35269,GRAN CANARIA,Las Palmas
35290,35299,GRAN CANARIA,Las Palmas
35300,35369,GRAN CANARIA,Las Palmas
35400,35489,GRAN CANARIA,Las Palmas
35500,35509,LANZAROTE,Las Palmas
35510,35519,LANZAROTE,Las Palmas
35520,35529,LANZAROTE,Las Palmas
35530,35549,LANZAROTE,Las Palmas
35550,35559,LANZAROTE,Las Palmas
35560,35569,LANZAROTE,Las Palmas
35570,35589,LANZAROTE,Las Palmas
35600,35619,FUERTEVENTURA,Las Palmas
35620,35629,FUERTEVENTURA,Las Palmas
35630,35639,FUERTEVENTURA,Las Palmas
35640,35659,FUERTEVENTURA,Las Palmas
38001,38299,TENERIFE,Santa Cruz de Tenerife
38300,38399,TENERIFE,Santa Cruz de Tenerife
38400,38489,TENERIFE,Santa Cruz de Tenerife
38500,38589,TENERIFE,Santa Cruz de Tenerife
38600,38649,TENERIFE,Santa Cruz de Tenerife
38670,38689,TENERIFE,Santa Cruz de Tenerife
38690,38699,TENERIFE,Santa Cruz de Tenerife
38700,38789,LA PALMA,Santa Cruz de Tenerife
38800,38879,LA GOMERA,Santa Cruz de Tenerife
38900,38911,EL HIERRO,Santa Cruz de Tenerife
38914,38914,EL HIERRO,Santa Cruz de Tenerife
