municipio,isla,provincia
Frontera,EL HIERRO,Santa Cruz de Tenerife
El Pinar de El Hierro,EL HIERRO,Santa Cruz de Tenerife
Valverde,EL HIERRO,Santa Cruz de Tenerife
Agulo,LA GOMERA,Santa Cruz de Tenerife
Alajeró,LA GOMERA,Santa Cruz de Tenerife
Hermigua,LA GOMERA,Santa Cruz de Tenerife
San Sebastián de la Gomera,LA GOMERA,Santa Cruz de Tenerife
Valle Gran Rey,LA GOMERA,Santa Cruz de Tenerife
Vallehermoso,LA GOMERA,Santa Cruz de Tenerife
Barlovento,LA PALMA,Santa Cruz de Tenerife
Breña Alta,LA PALMA,Santa Cruz de Tenerife
Breña Baja,LA PALMA,Santa Cruz de Tenerife
Fuencaliente de la Palma,LA PALMA,Santa Cruz de Tenerife
Garafía,LA PALMA,Santa Cruz de Tenerife
Los Llanos de Aridane,LA PALMA,Santa Cruz de Tenerife
El Paso,LA PALMA,Santa Cruz de Tenerife
Puntagorda,LA PALMA,Santa Cruz de Tenerife
Puntallana,LA PALMA,Santa Cruz de Tenerife
San Andrés y Sauces,LA PALMA,Santa Cruz de Tenerife
Santa Cruz de la Palma,LA PALMA,Santa Cruz de Tenerife
Tazacorte,LA PALMA,Santa Cruz de Tenerife
Tijarafe,LA PALMA,Santa Cruz de Tenerife
Villa de Mazo,LA PALMA,Santa Cruz de Tenerife
Adeje,TENERIFE,Santa Cruz de Tenerife
Arafo,TENERIFE,Santa Cruz de Tenerife
Arico,TENERIFE,Santa Cruz de Tenerife
Arona,TENERIFE,Santa Cruz de Tenerife
Buenavista del Norte,TENERIFE,Santa Cruz de Tenerife
Candelaria,TENERIFE,Santa Cruz de Tenerife
Fasnia,TENERIFE,Santa Cruz de Tenerife
Garachico,TENERIFE,Santa Cruz de Tenerife
Granadilla de Abona,TENERIFE,Santa Cruz de Tenerife
La Guancha,TENERIFE,Santa Cruz de Tenerife
Guía de Isora,TENERIFE,Santa Cruz de Tenerife
Güímar,TENERIFE,Santa Cruz de Tenerife
Icod de los Vinos,TENERIFE,Santa Cruz de Tenerife
San Cristóbal de La Laguna,TENERIFE,Santa Cruz de Tenerife
La Matanza de Acentejo,TENERIFE,Santa Cruz de Tenerife
La Orotava,TENERIFE,Santa Cruz de Tenerife
Puerto de la Cruz,TENERIFE,Santa Cruz de Tenerife
Los Realejos,TENERIFE,Santa Cruz de Tenerife
El Rosario,TENERIFE,Santa Cruz de Tenerife
San Juan de la Rambla,TENERIFE,Santa Cruz de Tenerife
San Miguel de Abona,TENERIFE,Santa Cruz de Tenerife
Santa Cruz de Tenerife,TENERIFE,Santa Cruz de Tenerife
Santa Úrsula,TENERIFE,Santa Cruz de Tenerife
Santiago del Teide,TENERIFE,Santa Cruz de Tenerife
El Sauzal,TENERIFE,Santa Cruz de Tenerife
Los Silos,TENERIFE,Santa Cruz de Tenerife
Tacoronte,TENERIFE,Santa Cruz de Tenerife
El Tanque,TENERIFE,Santa Cruz de Tenerife
Tegueste,TENERIFE,Santa Cruz de Tenerife
La Victoria de Acentejo,TENERIFE,Santa Cruz de Tenerife
Vilaflor de Chasna,TENERIFE,Santa Cruz de Tenerife
Agaete,GRAN CANARIA,Las Palmas
Agüimes,GRAN CANARIA,Las Palmas
Artenara,GRAN CANARIA,Las Palmas
Arucas,GRAN CANARIA,Las Palmas
Firgas,GRAN CANARIA,Las Palmas
Gáldar,GRAN CANARIA,Las Palmas
Ingenio,GRAN CANARIA,Las Palmas
Mogán,GRAN CANARIA,Las Palmas
Moya,GRAN CANARIA,Las Palmas
Las Palmas de Gran Canaria,GRAN CANARIA,Las Palmas
San Bartolomé de Tirajana,GRAN CANARIA,Las Palmas
La Aldea de San Nicolás,GRAN CANARIA,Las Palmas
Vega de San Mateo,GRAN CANARIA,Las Palmas
Santa Brígida,GRAN CANARIA,Las Palmas
Santa Lucía de Tirajana,GRAN CANARIA,Las Palmas
Santa María de Guía de Gran Canaria,GRAN CANARIA,Las Palmas
Tejeda,GRAN CANARIA,Las Palmas
Telde,GRAN CANARIA,Las Palmas
Teror,GRAN CANARIA,Las Palmas
Valleseco,GRAN CANARIA,Las Palmas
Valsequillo de Gran Canaria,GRAN CANARIA,Las Palmas
Antigua,FUERTEVENTURA,Las Palmas
Betancuria,FUERTEVENTURA,Las Palmas
La Oliva,FUERTEVENTURA,Las Palmas
Pájara,FUERTEVENTURA,Las Palmas
Puerto del Rosario,FUERTEVENTURA,Las Palmas
Tuineje,FUERTEVENTURA,Las Palmas
Arrecife,LANZAROTE,Las Palmas
Haría,LANZAROTE,Las Palmas
San Bartolomé,LANZAROTE,Las Palmas
Teguise,LANZAROTE,Las Palmas
Tías,LANZAROTE,Las Palmas
Tinajo,LANZAROTE,Las Palmas
Yaiza,LANZAROTE,Las Palmas
